DATE,TIME,BUYING RATE,MID RATE,SELLING RATE
1/2/2013,3:30:00 PM,5.24,5.25,5.26
1/2/2013,12:30:00 PM,5.217777778,5.227777778,5.237777778
1/2/2013,9:30:00 AM,5.161111111,5.171111111,5.181111111
1/3/2013,9:30:00 AM,5.259722222,5.269722222,5.279722222
1/3/2013,12:30:00 PM,5.238611111,5.248611111,5.258611111
1/3/2013,3:30:00 PM,5.234722222,5.244722222,5.254722222
1/4/2013,12:30:00 PM,5.244444444,5.254444444,5.264444444
1/4/2013,3:30:00 PM,5.243888889,5.253888889,5.263888889
1/4/2013,9:30:00 AM,5.236666667,5.246666667,5.256666667
1/7/2013,12:30:00 PM,5.289722222,5.299722222,5.309722222
1/7/2013,3:30:00 PM,5.287222222,5.297222222,5.307222222
1/7/2013,9:30:00 AM,5.268166667,5.278166667,5.288166667
1/8/2013,9:30:00 AM,5.261388889,5.271388889,5.281388889
1/8/2013,3:30:00 PM,5.225277778,5.235277778,5.245277778
1/8/2013,12:30:00 PM,5.215,5.225,5.235
1/9/2013,3:30:00 PM,5.249166667,5.259166667,5.269166667
1/9/2013,12:30:00 PM,5.226111111,5.236111111,5.246111111
1/9/2013,9:30:00 AM,5.224166667,5.234166667,5.244166667
1/10/2013,3:30:00 PM,5.25,5.26,5.27
1/10/2013,9:30:00 AM,5.25,5.26,5.27
1/10/2013,12:30:00 PM,5.2485,5.2585,5.2685
1/11/2013,9:30:00 AM,5.264722222,5.274722222,5.284722222
1/11/2013,12:30:00 PM,5.264166667,5.274166667,5.284166667
1/11/2013,3:30:00 PM,5.264166667,5.274166667,5.284166667
1/14/2013,12:30:00 PM,5.272777778,5.282777778,5.292777778
1/14/2013,3:30:00 PM,5.2725,5.2825,5.2925
1/14/2013,9:30:00 AM,5.266388889,5.276388889,5.286388889
1/15/2013,12:30:00 PM,5.272111111,5.282111111,5.292111111
1/15/2013,3:30:00 PM,5.271388889,5.281388889,5.291388889
1/15/2013,9:30:00 AM,5.268888889,5.278888889,5.288888889
1/16/2013,9:30:00 AM,5.271944444,5.281944444,5.291944444
1/16/2013,3:30:00 PM,5.268055556,5.278055556,5.288055556
1/16/2013,12:30:00 PM,5.2675,5.2775,5.2875
1/17/2013,9:30:00 AM,5.264444444,5.274444444,5.284444444
1/17/2013,3:30:00 PM,5.263611111,5.273611111,5.283611111
1/17/2013,12:30:00 PM,5.263333333,5.273333333,5.283333333
1/18/2013,3:30:00 PM,5.276666667,5.286666667,5.296666667
1/18/2013,12:30:00 PM,5.272222222,5.282222222,5.292222222
1/18/2013,9:30:00 AM,5.266388889,5.276388889,5.286388889
1/21/2013,3:30:00 PM,5.304444444,5.314444444,5.324444444
1/21/2013,12:30:00 PM,5.281111111,5.291111111,5.301111111
1/21/2013,9:30:00 AM,5.275,5.285,5.295
1/22/2013,3:30:00 PM,5.295555556,5.305555556,5.315555556
1/22/2013,12:30:00 PM,5.293611111,5.303611111,5.313611111
1/22/2013,9:30:00 AM,5.275833333,5.285833333,5.295833333
1/23/2013,9:30:00 AM,5.313611111,5.323611111,5.333611111
1/23/2013,3:30:00 PM,5.278055556,5.288055556,5.298055556
1/23/2013,12:30:00 PM,5.276111111,5.286111111,5.296111111
1/24/2013,9:30:00 AM,5.278333333,5.288333333,5.298333333
1/24/2013,3:30:00 PM,5.2675,5.2775,5.2875
1/24/2013,12:30:00 PM,5.260555556,5.270555556,5.280555556
1/25/2013,3:30:00 PM,5.285,5.295,5.305
1/25/2013,12:30:00 PM,5.280555556,5.290555556,5.300555556
1/25/2013,9:30:00 AM,5.269444444,5.279444444,5.289444444
1/28/2013,3:30:00 PM,5.304722222,5.314722222,5.324722222
1/28/2013,12:30:00 PM,5.303555556,5.313555556,5.323555556
1/28/2013,9:30:00 AM,5.285277778,5.295277778,5.305277778
1/29/2013,3:30:00 PM,5.35,5.36,5.37
1/29/2013,12:30:00 PM,5.342222222,5.352222222,5.362222222
1/29/2013,9:30:00 AM,5.326944444,5.336944444,5.346944444
1/30/2013,3:30:00 PM,5.384444444,5.394444444,5.404444444
1/30/2013,12:30:00 PM,5.361944444,5.371944444,5.381944444
1/30/2013,9:30:00 AM,5.355277778,5.365277778,5.375277778
1/31/2013,12:30:00 PM,5.422222222,5.432222222,5.442222222
1/31/2013,3:30:00 PM,5.3925,5.4025,5.4125
